Sección;ID Sección;SKU Sección;SKU Name Sección;Nombre;Precio;SKU;SKU Name;Descripción;Imagen;ID;GTIN;Stock;Global Catalog ID;Indice
Café en grano;5752410;;;Orígen Perú 350 Grs;15500.0;;;350 grs de Café en grano, origen Perú, 100 porciento arábico, tueste reciente. Perú San Ignacio, notas a chocolate, sabor almendra y nuez. Lo quieres molido, entonces indícalo en las NOTAS PARA ESTE PRODUCTO.;https://images.deliveryhero.io/image/pedidosya/products/e9115335-3db8-4c85-a4f0-1b721e789bc9.jpeg;101069162;;;;1
Sándwich pastelería;5744450;;;Sandwich Miga Ave Mayo;3800.0;;;Sandwich miga Ave Mayo.;https://images.deliveryhero.io/image/pedidosya/products/ce0508b9-8b45-4439-9206-259f6bccd4cd.jpeg;101069204;;;;1
Café en grano;5752410;;;Orígen Colombia 350 Grs;19500.0;;;Café grano Colombia, 350 grs. 100 porciento arábico, tueste reciente, tueste medio. Aroma vainilla caramelo, sabor a lima y almendra. Lo quieres molido, entonces indícalo en las NOTAS PARA ESTE PRODUCTO.;https://images.deliveryhero.io/image/pedidosya/products/d9e6478f-64d5-4792-b388-df1caf0c7865.jpeg;101069718;;;;3
Café en grano;5752410;;;Origen Nicargua 350 Grs;16500.0;;;350 grs de Café en grano de Nicaragua. 100 porciento arábico, tueste medio, tueste reciente. Aroma a caramelo dulce, manzana madura, dulce a lima. Lo quieres molido, entonces indícalo en las NOTAS PARA ESTE PRODUCTO.;https://images.deliveryhero.io/image/pedidosya/products/cb644dfa-cd27-4490-8846-9df1c3ec2e74.jpeg;101069724;;;;2
Te Chai;5750978;;;Tiger Sin azucar;18000.0;;;Te Chai sin azucar;https://images.deliveryhero.io/image/pedidosya/products/289b12a6-6a0e-43c4-8bc8-fb9263bf4cb5.jpeg;101069728;;;;2
Te Chai;5750978;;;Chai Vainilla;18000.0;;;Chai sabor vainilla;https://images.deliveryhero.io/image/pedidosya/products/90a4297d-a89e-4736-9abc-027b2cd783e5.jpeg;101069731;;;;3
Te Chai;5750978;;;Chai Matcha;18000.0;;;Te Chai Matcha, te verde;https://images.deliveryhero.io/image/pedidosya/products/ab230d78-3c19-4924-b495-515bded618b2.jpeg;101069737;;;;4
Te Chai;5750978;;;Chai Te White;18000.0;;;Te blanco, Chai;https://images.deliveryhero.io/image/pedidosya/products/a9bc28d2-9bfc-46b3-a0e5-14906c3bfcd4.jpeg;101069742;;;;5
Te Chai;5750978;;;Chai Espresso;18000.0;;;Te con café espresso.;https://images.deliveryhero.io/image/pedidosya/products/810ea35b-65d4-47b9-b21d-b8b62f92817e.jpeg;101069748;;;;6
Te Chai;5750978;;;Chai Mango;18000.0;;;Te Chai Mango;https://images.deliveryhero.io/image/pedidosya/products/b48a3017-c46d-4b6b-8189-8a16c61b1e1e.jpeg;101069756;;;;8
Te Chai;5750978;;;Chai Spicer;18000.0;;;Te negro, receta original;https://images.deliveryhero.io/image/pedidosya/products/dc281ed2-a203-4344-be6c-fd64488b188d.jpeg;101069757;;;;9
Te Chai;5750978;;;Sin azucar;18000.0;;;Te chai sin azucar;https://images.deliveryhero.io/image/pedidosya/products/0a77673f-0bae-49ad-bdba-e7d82ec80d07.jpeg;101069763;;;;10
Bebestibles;6049010;;;Bebida Coca Cola Normal Botella;3500.0;;;Coca Cola 591 ml botella normal.;;109584517;;;;1
Bebestibles;6049010;;;Agua Mineral Sin Gas;3500.0;;;Agua minera sin gas .;https://images.deliveryhero.io/image/pedidosya/products/4b919cde-fe0c-4c21-bcd8-30593e05730b.png;109584528;;;;2
Bebestibles;6049010;;;Bebida Coca Cola Lata Light;2500.0;;;Coca Cola Lata Light 350 ml.;https://images.deliveryhero.io/image/pedidosya/products/6bf11802-4776-4a0e-9ee4-ab75bcc7f99b.jpg;109584535;;;;5
Bebestibles;6049010;;;Bebida Coca Cola Sin Azúcar Lata;2500.0;;;Coca Cola Lata sin azucar 350 ml.;https://images.deliveryhero.io/image/pedidosya/products/a25e9164-d816-4cce-bc01-50a360526981.jpg;109584543;;;;6
Bebestibles;6049010;;;Bebida Monster Energética Negra;3500.0;;;Monster energetica 473 ml Negra;https://images.deliveryhero.io/image/pedidosya/products/fa38c395-9afe-4982-9bf2-587e60694ca9.jpg;109584549;;;;7
Bebestibles;6049010;;;Bebida Coca Cola botella Zero;3500.0;;;Coca Cola botella Zero.;https://images.deliveryhero.io/image/pedidosya/products/55db9b59-cc22-48f6-8123-13a39bf57c68.jpeg;109584574;;;;3
Bebestibles;6049010;;;Agua Mineral Con Gas;3500.0;;;Agua mineral CON gas botella.;https://images.deliveryhero.io/image/pedidosya/products/062a8fb5-4eb8-4abe-8b68-bfa15b1755f5.png;109584584;;;;4
Sándwich pastelería;5744450;;;Trozo Torta Amor;6400.0;;;Bizcocho, manjar, frambuesa. Tamaño para compartir.;https://images.deliveryhero.io/image/pedidosya/products/7c98a085-bace-4d39-9aaa-95090e18c87b.jpeg;109584631;;;;3
Donut horneadas;6053860;;;BRIGADEIROS Unidad;2200.0;;;Producto de Brasil. Hecha con leche condensada, cubierta con chocolate belga. Hechas con manos de chef brasilero - BRIGADEIROS.;https://images.deliveryhero.io/image/pedidosya/products/fb121d72-110b-41f4-83bc-3f9a881ebb9c.jpeg;109616308;;;;1
Donut horneadas;6053860;;;Alfajor Vegano Mani Datiles;2400.0;;;Alfajor vegano, hecho con maní datiles.;https://images.deliveryhero.io/image/pedidosya/products/f50cce12-eb4a-4490-b3e6-d8563560cd18.jpeg;109616322;;;;7
Donut horneadas;6053860;;;Alfajor Vegano Frutilla;2400.0;;;Alfajor vegano relleno con frutilla.;https://images.deliveryhero.io/image/pedidosya/products/bf359dc8-2acd-4f2a-ba2d-e8a52a77c30f.jpeg;109616347;;;;8
Donut horneadas;6053860;;;Alfajor Vegano Manjar;2400.0;;;Vegano relleno Manjar.;https://images.deliveryhero.io/image/pedidosya/products/be1d15b4-b638-4db7-b918-a0a8fa85334b.jpeg;109616371;;;;9
Métodos preparación café;5744449;;;Espumador De Leche;16000.0;;;Espumador de leche 450 ml marca Vitrex de vidrio.;https://images.deliveryhero.io/image/pedidosya/products/b2d31755-e454-4866-bbf0-6cf809090357.jpeg;109616578;;;;2
