Sección;ID Sección;SKU Sección;SKU Name Sección;Nombre;Precio;SKU;SKU Name;Descripción;Imagen;ID;GTIN;Stock;Global Catalog ID;Indice
BLACK WEEK;5730081;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;100927731;;;;1
GOLAZOS MUNDIALEROS;5806640;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;101803585;;;;1
Naviya diciembre 2022;5913466;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;107472098;;;;1
PEDIDOSYA AWARDS DICIEMBRE 2022;5993975;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;108574111;;;;1
PEDIDOSYA AWARDS DICIEMBRE 2022;5993975;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;108574926;;;;2
Disfruta Verano;6055091;;;Combo 13;3450.0;;;Completo o italiano gigante, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/69d890c2-4565-477a-8cd8-339482b48d5e.jpg;109625763;;;;1
PROMOCIONES EXCLUSIVAS;6152079;;;Combo 13;4140.0;;;Completo o italiano gigante, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/69d890c2-4565-477a-8cd8-339482b48d5e.jpg;110841429;;;;1
6K, PROMOS HASTA 6 LUCAS;6033226;;;Combo 13;5865.0;;;Completo o italiano gigante, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/69d890c2-4565-477a-8cd8-339482b48d5e.jpg;110936600;;;;2
Minutas;977182;;;Fajita ñam;5990.0;;;Fajita, champiñon, tomate, palta, queso, choclo, mayonesa.;;114581499;;;;13
Combos;976894;;;Combo Fajita Ñam;7300.0;;;Fajita ñam, champiñon, palta, tomate, queso, mayonesa, más bebida mini 250cc.;;114581661;;;;16
MAR DE OFERTAS;6515833;;;Sándwich grande italiano;9600.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;117594609;;;;1
MAR DE OFERTAS;6515833;;;Sándwich grande Ñam;12500.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa casera.;;117594610;;;;2
COMPLETOS A $1.990;6549849;;;Completo mediano italiano;1990.0;;;Vienesa, tomate, palta y mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/6923998d-0aea-47dc-a1d5-e8e68691a56a.jpg;118097964;;;;1
Comida casera ;6588122;;;Pollo Asado Con Papas Fritas;5990.0;;;Cuarto de pollo asado con papas fritas.;;118588152;;;;1
GOLAZOS MUNDIALEROS;5806640;;;Carne A La Cacerola;8990.0;;;Carne a la cacerola con arroz y papas fritas.;;118588850;;;;2
Comida casera ;6588122;;;Carne A La Cacerola Con Arroz;8990.0;;;Carne a la cacerola con , papas mayo y ensalada.;;118591059;;;;2
Comida casera ;6588122;;;Tallarines Con Boloñesa;5900.0;;;Tallarines con salsa boloñesa con ensalada.;;118630575;;;;3
DIA DEL COMPLETO;6623365;;;Completo mediano italiano;1990.0;;;Carne a elección, tomate, palta y mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/6923998d-0aea-47dc-a1d5-e8e68691a56a.jpg;119075825;;;;1
RED DAYS;6654647;;;Sándwich grande italiano;6720.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;119591060;;;;1
RED DAYS;6654647;;;Sándwich grande Ñam;8750.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa casera.;;119591061;;;;2
TEMPORADA DE OFERTAS;6665064;;;Sándwich grande italiano;6720.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;119783650;;;;1
TEMPORADA DE OFERTAS;6665064;;;Sándwich grande Ñam;8750.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa casera.;;119783651;;;;2
Comida casera ;6588122;;;Pescado Frito Con Arroz O Papas Mayo Mas Ensalada;8900.0;;;Merluza frita con arroz o papas mayo con ensalada surtida.;;120057957;;;;4
Comida casera ;6588122;;;Chuleta A Lo Pobre;7900.0;;;Chuleta a lo pobre.;;120063640;;;;5
Comida casera ;6588122;;;Cuarto Pollo Asado A Lo Pobre;8900.0;;;Cuarto de pollo asado a lo pobre.;;120064118;;;;6
Comida casera ;6588122;;;Costillar A La Chilena Con Arroz Y Ensalada;8900.0;;;Costillar a la chilena con arroz y ensalada surtida.;;120361905;;;;7
Comida casera ;6588122;;;Costillar A La Chilena Con Arroz Y Papas Fritas;9500.0;;;Costillar a la chilena con arroz y papas fritas.;;120361987;;;;8
Comida casera ;6588122;;;Costillar A La Chilena Con Papas Fritas Y Ensalada;9500.0;;;Costillar a la chilena con papas fritas y ensalada surtida.;;120362010;;;;9
SABORES DE INVIERNO;6831617;;;Sándwich grande italiano;6720.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;122681867;;;;1
SABORES DE INVIERNO;6831617;;;Sándwich grande Ñam;8750.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa casera.;;122681868;;;;2
PARA PASAR AGOSTO;5002693;;;Combo 13;4830.0;;;Completo o italiano gigante, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/69d890c2-4565-477a-8cd8-339482b48d5e.jpg;125033827;;;;3
PARA PASAR AGOSTO;5002693;;;Sándwich grande Ñam;8750.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa casera.;;125033828;;;;4
Sándwiches medianos;977134;;;Sándwich mediano Super Ñam;8990.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/afa7a5a6-3b6e-4604-8c02-35f039222f4e.jpg;14973823;;;;12
Sándwiches grandes;977162;;;Sándwich grande Super Ñam;13500.0;;;Carne churrasco o ave, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/e2c32b99-085e-4c42-ae11-0e030640c620.jpg;14973842;;;;12
Completos medianos;976939;;;Completo mediano Super Ñam;4900.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;;14973859;;;;11
Combos;976894;;;Combo 13;6900.0;;;Completo o italiano gigante, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/69d890c2-4565-477a-8cd8-339482b48d5e.jpg;18426333;;;;13
Combos;976894;;;Combo 14;6200.0;;;Completo o italiano normal, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/8bf00a53-221d-4817-97e5-1a2ecc798dd6.jpg;18426362;;;;14
Sección Bebidas;977191;;;Bebida Lata Coca Cola 220 Ml;1600.0;;;220.;https://images.deliveryhero.io/image/pedidosya/products/3cd101e3-f87f-4988-980c-7a3d9c1ed490.jpg;25582057;;;;18
Sección Bebidas;977191;;;Bebida Lata Coca Cola Sin Azúcar 250 Ml;1600.0;;;Latita.;https://images.deliveryhero.io/image/pedidosya/products/e1759d91-ac9c-4a5b-b419-baf4f770c2ca.jpg;25582146;;;;18
Sección Bebidas;977191;;;Bebida Coca Cola 1,5 L;2990.0;;;Litro y medio.;https://images.deliveryhero.io/image/pedidosya/products/8f1f1c15-1739-437a-9a81-662e2f58d98e.jpg;25582205;;;;15
Sección Bebidas;977191;;;Bebida Coca Cola Sin Azúcar 1,5 L;2990.0;;;Litro y medio.;https://images.deliveryhero.io/image/pedidosya/products/d026e40b-373d-4c94-8e3d-eb5b2ccd90c2.jpg;25582248;;;;19
Sección Bebidas;977191;;;Bebida Coca Cola 590 Ml;2500.0;;;Medio.;https://images.deliveryhero.io/image/pedidosya/products/5637afae-aabf-440e-896a-f0f8cce592fb.jpg;25582563;;;;20
